Alert,Description,MITRE tactics,Severity,Alert Family,Alert Type ()
Anonymity network activity,Analysis of DNS transactions from %{CompromisedEntity} detected anonymity network activity. Such activity  while possibly legitimate user behavior  is frequently employed by attackers to evade tracking and fingerprinting of network communications. Typical related attacker activity is likely to include the download and execution of malicious software or remote administration tools.,Exfiltration,Low,Alerts for DNS,(AzureDNS_DarkWeb)
Anonymity network activity using web proxy,Analysis of DNS transactions from %{CompromisedEntity} detected anonymity network activity. Such activity  while possibly legitimate user behavior  is frequently employed by attackers to evade tracking and fingerprinting of network communications. Typical related attacker activity is likely to include the download and execution of malicious software or remote administration tools.,Exfiltration,Low,Alerts for DNS,(AzureDNS_DarkWebProxy)
Attempted communication with suspicious sinkholed domain,Analysis of DNS transactions from %{CompromisedEntity} detected request for sinkholed domain. Such activity  while possibly legitimate user behavior  is frequently an indication of the download or execution of malicious software. Typical related attacker activity is likely to include the download and execution of further malicious software or remote administration tools.,Exfiltration,Medium,Alerts for DNS,(AzureDNS_SinkholedDomain)
Communication with possible phishing domain,Analysis of DNS transactions from %{CompromisedEntity} detected a request for a possible phishing domain. Such activity  while possibly benign  is frequently performed by attackers to harvest credentials to remote services. Typical related attacker activity is likely to include the exploitation of any credentials on the legitimate service.,Exfiltration,Low,Alerts for DNS,(AzureDNS_PhishingDomain)
Communication with suspicious algorithmically generated domain,Analysis of DNS transactions from %{CompromisedEntity} detected possible usage of a domain generation algorithm. Such activity  while possibly benign  is frequently performed by attackers to evade network monitoring and filtering. Typical related attacker activity is likely to include the download and execution of malicious software or remote administration tools.,Exfiltration,Low,Alerts for DNS,(AzureDNS_DomainGenerationAlgorithm)
Communication with suspicious domain identified by threat intelligence,Communication with suspicious domain was detected by analyzing DNS transactions from your resource and comparing against known malicious domains identified by threat intelligence feeds. Communication to malicious domains is frequently performed by attackers and could imply that your resource is compromised.,Initial Access,Medium,Alerts for DNS,(AzureDNS_ThreatIntelSuspectDomain)
Communication with suspicious random domain name,Analysis of DNS transactions from %{CompromisedEntity} detected usage of a suspicious randomly generated domain name. Such activity  while possibly benign  is frequently performed by attackers to evade network monitoring and filtering. Typical related attacker activity is likely to include the download and execution of malicious software or remote administration tools.,Exfiltration,Low,Alerts for DNS,(AzureDNS_RandomizedDomain)
Digital currency mining activity,Analysis of DNS transactions from %{CompromisedEntity} detected digital currency mining activity. Such activity  while possibly legitimate user behavior  is frequently performed by attackers following compromise of resources. Typical related attacker activity is likely to include the download and execution of common mining tools.,Exfiltration,Low,Alerts for DNS,(AzureDNS_CurrencyMining)
Network intrusion detection signature activation,Analysis of DNS transactions from %{CompromisedEntity} detected a known malicious network signature. Such activity  while possibly legitimate user behavior  is frequently an indication of the download or execution of malicious software. Typical related attacker activity is likely to include the download and execution of further malicious software or remote administration tools.,Exfiltration,Medium,Alerts for DNS,(AzureDNS_SuspiciousDomain)
Possible data download via DNS tunnel,Analysis of DNS transactions from %{CompromisedEntity} detected a possible DNS tunnel. Such activity  while possibly legitimate user behavior  is frequently performed by attackers to evade network monitoring and filtering. Typical related attacker activity is likely to include the download and execution of malicious software or remote administration tools.,Exfiltration,Low,Alerts for DNS,(AzureDNS_DataInfiltration)
